Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
validator,org.apache.commons.validator,Arg,toString,Long Statement,The length of the statement "return new StringBuilder().append("Arg: name=").append(name).append(" key=").append(key).append(" position=").append(position).append(" bundle=").append(bundle).append(" resource=").append(resource).append("\n").toString();" is 223.,167
validator,org.apache.commons.validator,CreditCardValidator,isValid,Complex Conditional,The conditional expression card == null || card.length() < 13 || card.length() > 19 is complex.,206
validator,org.apache.commons.validator,CreditCardValidator,isValid,Magic Number,The method contains a magic number: 13,206
validator,org.apache.commons.validator,CreditCardValidator,isValid,Magic Number,The method contains a magic number: 19,206
validator,org.apache.commons.validator,CreditCardValidator,luhnCheck,Magic Number,The method contains a magic number: 2,227
validator,org.apache.commons.validator,CreditCardValidator,luhnCheck,Magic Number,The method contains a magic number: 9,227
validator,org.apache.commons.validator,CreditCardValidator,luhnCheck,Magic Number,The method contains a magic number: 9,227
validator,org.apache.commons.validator,CreditCardValidator,luhnCheck,Magic Number,The method contains a magic number: 10,227
validator,org.apache.commons.validator,DateValidator,isValid,Complex Conditional,The conditional expression value == null || datePattern == null || datePattern.isEmpty() is complex.,94
validator,org.apache.commons.validator,DependentValidatorContext,DependentValidatorContext,Long Parameter List,The method has 5 parameters. ,12
validator,org.apache.commons.validator,EmailValidator,isValidIpAddress,Magic Number,The method contains a magic number: 4,123
validator,org.apache.commons.validator,EmailValidator,isValidIpAddress,Magic Number,The method contains a magic number: 255,123
validator,org.apache.commons.validator,EmailValidator,isValidSymbolicDomain,Magic Number,The method contains a magic number: 10,152
validator,org.apache.commons.validator,EmailValidator,isValidSymbolicDomain,Magic Number,The method contains a magic number: 2,152
validator,org.apache.commons.validator,EmailValidator,stripComments,Long Statement,The length of the statement "final String commentPat="^((?:[^\"\\\\]|\\\\.)*(?:\"(?:[^\"\\\\]|\\\\.)*\"(?:[^\"\\\\]|\111111\\\\.)*)*)\\((?:[^()\\\\]|\\\\.)*\\)/";" is 133.,203
validator,org.apache.commons.validator,Field,addArg,Complex Conditional,The conditional expression arg == null || arg.getKey() == null || arg.getKey().isEmpty() is complex.,149
