Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
commons-validator,org.apache.commons.validator.example,ValidateBean,8,0,17,17,57,17,0,0,0.0,1,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\example\org\apache\commons\validator\example\ValidateBean.java,19
commons-validator,org.apache.commons.validator.example,ValidateExample,1,0,2,2,81,7,0,0,0.0,0,9,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\example\org\apache\commons\validator\example\ValidateExample.java,36
commons-validator,org.apache.commons.validator,Arg,6,0,12,12,119,12,0,0,0.16666666666666666,3,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\Arg.java,21
commons-validator,org.apache.commons.validator,CreditCardValidator,14,5,5,4,157,16,0,0,0.0,3,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\CreditCardValidator.java,24
commons-validator,org.apache.commons.validator,CreditCardValidator.Amex,2,0,0,0,8,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\CreditCardValidator.java,59
commons-validator,org.apache.commons.validator,CreditCardValidator.CreditCardType,0,0,0,0,12,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\CreditCardValidator.java,69
commons-validator,org.apache.commons.validator,CreditCardValidator.Discover,2,0,0,0,7,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\CreditCardValidator.java,91
commons-validator,org.apache.commons.validator,CreditCardValidator.Mastercard,2,0,0,0,8,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\CreditCardValidator.java,100
commons-validator,org.apache.commons.validator,CreditCardValidator.Visa,2,0,0,0,10,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\CreditCardValidator.java,110
commons-validator,org.apache.commons.validator,DateValidator,1,0,4,3,73,8,0,0,1.0,1,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\DateValidator.java,24
