Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: processParsedValue
routines,org.apache.commons.validator.routines,AbstractNumberValidator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; STANDARD_FORMAT; CURRENCY_FORMAT; PERCENT_FORMAT; allowFractions; formatType
routines,org.apache.commons.validator.routines,AbstractNumberValidator,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: processParsedValue
routines,org.apache.commons.validator.routines,BigIntegerValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,ByteValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,CalendarValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,CalendarValidator,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCalendarValidator
routines,org.apache.commons.validator.routines,CreditCardValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,CreditCardValidator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: low; high; minLen; maxLen; lengths; serialVersionUID; MIN_CC_LENGTH; MAX_CC_LENGTH; NONE; AMEX; VISA; MASTERCARD; DISCOVER; DINERS; VPAY; MASTERCARD_PRE_OCT2016; LUHN_VALIDATOR; AMEX_VALIDATOR; DINERS_VALIDATOR; DISCOVER_REGEX; DISCOVER_VALIDATOR; MASTERCARD_REGEX; MASTERCARD_VALIDATOR; MASTERCARD_VALIDATOR_PRE_OCT2016; VISA_VALIDATOR; VPAY_VALIDATOR; serialVersionUID; ccr; cardTypes
routines,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: low; high; minLen; maxLen; lengths
routines,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: low; high; minLen; maxLen; lengths
routines,org.apache.commons.validator.routines,CurrencyValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,DateValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,DateValidator,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCalendarValidator
routines,org.apache.commons.validator.routines,DomainValidator.ArrayType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
routines,org.apache.commons.validator.routines,DomainValidator.ArrayType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,DomainValidator.IDNBUGHOLDER,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: IDN_TOASCII_PRESERVES_TRAILING_DOTS
routines,org.apache.commons.validator.routines,DomainValidator.IDNBUGHOLDER,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,DomainValidator.Item,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: type; values
routines,org.apache.commons.validator.routines,DomainValidator.Item,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,DomainValidator.LazyHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: DOMAIN_VALIDATOR; DOMAIN_VALIDATOR_WITH_LOCAL
routines,org.apache.commons.validator.routines,DomainValidator.LazyHolder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,DoubleValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,EmailValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,FloatValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
