Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,AbstractCalendarValidator,5,1,3,51,0,,
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,calculateCompareResult,10,3,3,66,0,,
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,calculateQuarter,10,2,2,88,0,,
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,compare,25,7,3,111,0,org.apache.commons.validator.routines.AbstractCalendarValidator,org.apache.commons.validator.routines.AbstractCalendarValidator
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,compareQuarters,11,3,3,167,0,org.apache.commons.validator.routines.AbstractCalendarValidator,org.apache.commons.validator.routines.AbstractCalendarValidator
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,compareTime,19,5,3,189,0,org.apache.commons.validator.routines.AbstractCalendarValidator,org.apache.commons.validator.routines.AbstractCalendarValidator
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,format,9,3,2,232,0,,
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,format,3,1,3,250,0,org.apache.commons.validator.routines.AbstractCalendarValidator,org.apache.commons.validator.routines.AbstractCalendarValidator
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,format,3,1,3,264,0,org.apache.commons.validator.routines.AbstractCalendarValidator,org.apache.commons.validator.routines.AbstractCalendarValidator
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,format,10,3,4,278,0,org.apache.commons.validator.routines.AbstractCalendarValidator,org.apache.commons.validator.routines.AbstractCalendarValidator
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,format,3,1,3,299,0,org.apache.commons.validator.routines.AbstractCalendarValidator,org.apache.commons.validator.routines.AbstractCalendarValidator
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,format,3,1,2,313,0,org.apache.commons.validator.routines.AbstractCalendarValidator,org.apache.commons.validator.routines.AbstractCalendarValidator
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,getFormat,30,6,1,326,0,,
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,getFormat,16,3,2,360,0,org.apache.commons.validator.routines.AbstractCalendarValidator,org.apache.commons.validator.routines.AbstractCalendarValidator
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,isValid,3,1,3,385,0,org.apache.commons.validator.routines.AbstractCalendarValidator,org.apache.commons.validator.routines.AbstractCalendarValidator
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,parse,12,3,4,398,0,org.apache.commons.validator.routines.AbstractCalendarValidator,org.apache.commons.validator.routines.AbstractCalendarValidator
routines,org.apache.commons.validator.routines,AbstractCalendarValidator,processParsedValue,0,1,2,422,0,,
routines,org.apache.commons.validator.routines,AbstractFormatValidator,AbstractFormatValidator,3,1,1,41,0,,
routines,org.apache.commons.validator.routines,AbstractFormatValidator,format,3,1,1,51,0,org.apache.commons.validator.routines.AbstractFormatValidator,org.apache.commons.validator.routines.AbstractFormatValidator
routines,org.apache.commons.validator.routines,AbstractFormatValidator,format,3,1,2,62,0,,
routines,org.apache.commons.validator.routines,AbstractFormatValidator,format,3,1,2,73,0,org.apache.commons.validator.routines.AbstractFormatValidator,org.apache.commons.validator.routines.AbstractFormatValidator
routines,org.apache.commons.validator.routines,AbstractFormatValidator,format,3,1,2,85,0,org.apache.commons.validator.routines.AbstractFormatValidator,org.apache.commons.validator.routines.AbstractFormatValidator
routines,org.apache.commons.validator.routines,AbstractFormatValidator,format,4,1,3,97,0,org.apache.commons.validator.routines.AbstractFormatValidator,org.apache.commons.validator.routines.AbstractFormatValidator
routines,org.apache.commons.validator.routines,AbstractFormatValidator,getFormat,0,1,2,111,0,,
routines,org.apache.commons.validator.routines,AbstractFormatValidator,isStrict,3,1,0,122,0,,
routines,org.apache.commons.validator.routines,AbstractFormatValidator,isValid,3,1,1,143,0,org.apache.commons.validator.routines.AbstractFormatValidator,org.apache.commons.validator.routines.AbstractFormatValidator
routines,org.apache.commons.validator.routines,AbstractFormatValidator,isValid,3,1,2,153,0,org.apache.commons.validator.routines.AbstractFormatValidator,org.apache.commons.validator.routines.AbstractFormatValidator
routines,org.apache.commons.validator.routines,AbstractFormatValidator,isValid,3,1,2,164,0,org.apache.commons.validator.routines.AbstractFormatValidator,org.apache.commons.validator.routines.AbstractFormatValidator
routines,org.apache.commons.validator.routines,AbstractFormatValidator,isValid,0,1,3,175,0,,
routines,org.apache.commons.validator.routines,AbstractFormatValidator,parse,14,4,2,185,0,org.apache.commons.validator.routines.AbstractFormatValidator,org.apache.commons.validator.routines.AbstractFormatValidator
routines,org.apache.commons.validator.routines,AbstractFormatValidator,processParsedValue,0,1,2,208,0,,
routines,org.apache.commons.validator.routines,AbstractNumberValidator,AbstractNumberValidator,5,1,3,58,0,,
routines,org.apache.commons.validator.routines,AbstractNumberValidator,determineScale,27,8,1,75,0,org.apache.commons.validator.routines.AbstractNumberValidator,org.apache.commons.validator.routines.AbstractNumberValidator
routines,org.apache.commons.validator.routines,AbstractNumberValidator,getFormat,0,7,1,108,0,org.apache.commons.validator.routines.AbstractNumberValidator,org.apache.commons.validator.routines.AbstractNumberValidator
routines,org.apache.commons.validator.routines,AbstractNumberValidator,getFormat,18,4,2,146,0,org.apache.commons.validator.routines.AbstractNumberValidator,org.apache.commons.validator.routines.AbstractNumberValidator
routines,org.apache.commons.validator.routines,AbstractNumberValidator,getFormatType,3,1,0,175,0,,
routines,org.apache.commons.validator.routines,AbstractNumberValidator,isAllowFractions,3,1,0,185,0,,
routines,org.apache.commons.validator.routines,AbstractNumberValidator,isInRange,3,1,3,196,0,org.apache.commons.validator.routines.AbstractNumberValidator,org.apache.commons.validator.routines.AbstractNumberValidator
routines,org.apache.commons.validator.routines,AbstractNumberValidator,isValid,3,1,3,209,0,org.apache.commons.validator.routines.AbstractNumberValidator,org.apache.commons.validator.routines.AbstractNumberValidator
routines,org.apache.commons.validator.routines,AbstractNumberValidator,maxValue,6,2,2,223,0,org.apache.commons.validator.routines.AbstractNumberValidator,org.apache.commons.validator.routines.AbstractNumberValidator
routines,org.apache.commons.validator.routines,AbstractNumberValidator,minValue,6,2,2,238,0,org.apache.commons.validator.routines.AbstractNumberValidator,org.apache.commons.validator.routines.AbstractNumberValidator
routines,org.apache.commons.validator.routines,AbstractNumberValidator,parse,9,2,3,253,0,org.apache.commons.validator.routines.AbstractNumberValidator,org.apache.commons.validator.routines.AbstractNumberValidator
routines,org.apache.commons.validator.routines,AbstractNumberValidator,processParsedValue,0,1,2,273,0,,
routines,org.apache.commons.validator.routines,BigDecimalValidator,getInstance,3,1,0,74,0,,
routines,org.apache.commons.validator.routines,BigDecimalValidator,BigDecimalValidator,3,1,0,82,0,,
routines,org.apache.commons.validator.routines,BigDecimalValidator,BigDecimalValidator,3,1,1,89,0,,
routines,org.apache.commons.validator.routines,BigDecimalValidator,BigDecimalValidator,3,1,3,99,0,,
routines,org.apache.commons.validator.routines,BigDecimalValidator,isInRange,3,1,3,127,0,,
routines,org.apache.commons.validator.routines,BigDecimalValidator,maxValue,3,1,2,140,0,,
routines,org.apache.commons.validator.routines,BigDecimalValidator,minValue,3,1,2,152,0,,
routines,org.apache.commons.validator.routines,BigDecimalValidator,processParsedValue,14,3,2,164,0,,
routines,org.apache.commons.validator.routines,BigDecimalValidator,validate,3,1,1,189,0,,
routines,org.apache.commons.validator.routines,BigDecimalValidator,validate,3,1,2,201,0,,
routines,org.apache.commons.validator.routines,BigDecimalValidator,validate,3,1,2,213,0,,
routines,org.apache.commons.validator.routines,BigDecimalValidator,validate,3,1,3,226,0,,
routines,org.apache.commons.validator.routines,BigIntegerValidator,getInstance,3,1,0,71,0,,
routines,org.apache.commons.validator.routines,BigIntegerValidator,BigIntegerValidator,3,1,0,79,0,,
routines,org.apache.commons.validator.routines,BigIntegerValidator,BigIntegerValidator,3,1,2,86,0,,
routines,org.apache.commons.validator.routines,BigIntegerValidator,isInRange,3,1,3,111,0,,
routines,org.apache.commons.validator.routines,BigIntegerValidator,maxValue,3,1,2,124,0,,
routines,org.apache.commons.validator.routines,BigIntegerValidator,minValue,3,1,2,136,0,,
routines,org.apache.commons.validator.routines,BigIntegerValidator,processParsedValue,3,1,2,148,0,,
routines,org.apache.commons.validator.routines,BigIntegerValidator,validate,3,1,1,161,0,,
routines,org.apache.commons.validator.routines,BigIntegerValidator,validate,3,1,2,173,0,,
