Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
validator,org.apache.commons.validator,Arg,clone,8,1,0,72,0,,
validator,org.apache.commons.validator,Arg,getBundle,3,1,0,85,0,,
validator,org.apache.commons.validator,Arg,getKey,3,1,0,94,0,,
validator,org.apache.commons.validator,Arg,getName,3,1,0,102,0,,
validator,org.apache.commons.validator,Arg,getPosition,3,1,0,110,0,,
validator,org.apache.commons.validator,Arg,isResource,3,1,0,118,0,,
validator,org.apache.commons.validator,Arg,setBundle,3,1,1,126,0,,
validator,org.apache.commons.validator,Arg,setKey,3,1,1,135,0,,
validator,org.apache.commons.validator,Arg,setName,3,1,1,143,0,,
validator,org.apache.commons.validator,Arg,setPosition,3,1,1,151,0,,
validator,org.apache.commons.validator,Arg,setResource,3,1,1,159,0,,
validator,org.apache.commons.validator,Arg,toString,3,1,0,167,0,,
validator,org.apache.commons.validator,CreditCardValidator,CreditCardValidator,3,1,0,164,0,,
validator,org.apache.commons.validator,CreditCardValidator,CreditCardValidator,15,5,1,171,0,,
validator,org.apache.commons.validator,CreditCardValidator,addAllowedCardType,3,1,1,196,0,,
validator,org.apache.commons.validator,CreditCardValidator,isValid,15,5,1,206,0,org.apache.commons.validator.CreditCardValidator,org.apache.commons.validator.CreditCardValidator
validator,org.apache.commons.validator,CreditCardValidator,luhnCheck,22,4,1,227,0,,
validator,org.apache.commons.validator,DateValidator,getInstance,3,1,0,43,0,,
validator,org.apache.commons.validator,DateValidator,DateValidator,2,1,0,51,0,,
validator,org.apache.commons.validator,DateValidator,isValid,20,3,2,57,0,,
validator,org.apache.commons.validator,DateValidator,isValid,17,3,3,94,0,,
validator,org.apache.commons.validator,DependentValidatorContext,DependentValidatorContext,7,1,5,12,0,,
validator,org.apache.commons.validator,DependentValidatorContext,getVa,3,1,0,22,0,,
validator,org.apache.commons.validator,DependentValidatorContext,getResults,3,1,0,26,0,,
validator,org.apache.commons.validator,DependentValidatorContext,getActions,3,1,0,30,0,,
validator,org.apache.commons.validator,DependentValidatorContext,getParams,3,1,0,34,0,,
validator,org.apache.commons.validator,DependentValidatorContext,getPos,3,1,0,38,0,,
validator,org.apache.commons.validator,EmailValidator,getInstance,3,1,0,66,0,,
validator,org.apache.commons.validator,EmailValidator,EmailValidator,2,1,0,74,0,,
validator,org.apache.commons.validator,EmailValidator,isValid,3,1,1,80,0,,
validator,org.apache.commons.validator,EmailValidator,isValidDomain,20,5,1,91,0,org.apache.commons.validator.EmailValidator,org.apache.commons.validator.EmailValidator
validator,org.apache.commons.validator,EmailValidator,isValidIpAddress,20,4,1,123,0,,
validator,org.apache.commons.validator,EmailValidator,isValidSymbolicDomain,27,6,1,152,0,,
validator,org.apache.commons.validator,EmailValidator,isValidUser,3,1,1,194,0,,
validator,org.apache.commons.validator,EmailValidator,stripComments,9,2,1,203,0,,
validator,org.apache.commons.validator,Field,addArg,18,4,1,149,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
validator,org.apache.commons.validator,Field,addMsg,3,1,1,177,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
validator,org.apache.commons.validator,Field,addVar,3,1,3,185,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
validator,org.apache.commons.validator,Field,addVar,3,1,1,196,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
validator,org.apache.commons.validator,Field,clone,22,3,0,204,0,,
