Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
commons-validator,org.apache.commons.validator.example,ValidateBean,setLastName,3,1,1,26,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,setFirstName,3,1,1,30,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,setStreet1,3,1,1,34,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,setStreet2,3,1,1,38,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,setCity,3,1,1,42,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,setState,3,1,1,46,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,setPostalCode,3,1,1,50,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,setAge,3,1,1,54,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,getLastName,3,1,0,58,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,getFirstName,3,1,0,62,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,getStreet1,3,1,0,66,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,getStreet2,3,1,0,70,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,getCity,3,1,0,74,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,getState,3,1,0,78,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,getPostalCode,3,1,0,82,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,getAge,3,1,0,86,0,,
commons-validator,org.apache.commons.validator.example,ValidateBean,toString,3,1,0,90,0,,
commons-validator,org.apache.commons.validator.example,ValidateExample,main,35,2,1,57,0,org.apache.commons.validator.example.ValidateExample,org.apache.commons.validator.example.ValidateExample
commons-validator,org.apache.commons.validator.example,ValidateExample,printResults,31,5,3,128,0,,
commons-validator,org.apache.commons.validator,Arg,clone,8,1,0,72,0,,
commons-validator,org.apache.commons.validator,Arg,getBundle,3,1,0,85,0,,
commons-validator,org.apache.commons.validator,Arg,getKey,3,1,0,94,0,,
commons-validator,org.apache.commons.validator,Arg,getName,3,1,0,102,0,,
commons-validator,org.apache.commons.validator,Arg,getPosition,3,1,0,110,0,,
commons-validator,org.apache.commons.validator,Arg,isResource,3,1,0,118,0,,
commons-validator,org.apache.commons.validator,Arg,setBundle,3,1,1,126,0,,
commons-validator,org.apache.commons.validator,Arg,setKey,3,1,1,135,0,,
commons-validator,org.apache.commons.validator,Arg,setName,3,1,1,143,0,,
commons-validator,org.apache.commons.validator,Arg,setPosition,3,1,1,151,0,,
commons-validator,org.apache.commons.validator,Arg,setResource,3,1,1,159,0,,
commons-validator,org.apache.commons.validator,Arg,toString,3,1,0,167,0,,
commons-validator,org.apache.commons.validator,CreditCardValidator,CreditCardValidator,3,1,0,164,0,,
commons-validator,org.apache.commons.validator,CreditCardValidator,CreditCardValidator,15,5,1,171,0,,
commons-validator,org.apache.commons.validator,CreditCardValidator,addAllowedCardType,3,1,1,196,0,,
commons-validator,org.apache.commons.validator,CreditCardValidator,isValid,15,5,1,206,0,org.apache.commons.validator.CreditCardValidator,org.apache.commons.validator.CreditCardValidator
commons-validator,org.apache.commons.validator,CreditCardValidator,luhnCheck,22,4,1,227,0,,
commons-validator,org.apache.commons.validator,DateValidator,getInstance,3,1,0,43,0,,
commons-validator,org.apache.commons.validator,DateValidator,DateValidator,2,1,0,51,0,,
commons-validator,org.apache.commons.validator,DateValidator,isValid,20,3,2,57,0,,
commons-validator,org.apache.commons.validator,DateValidator,isValid,17,3,3,94,0,,
commons-validator,org.apache.commons.validator,EmailValidator,getInstance,3,1,0,66,0,,
commons-validator,org.apache.commons.validator,EmailValidator,EmailValidator,2,1,0,74,0,,
commons-validator,org.apache.commons.validator,EmailValidator,isValid,3,1,1,80,0,,
commons-validator,org.apache.commons.validator,EmailValidator,isValidDomain,20,5,1,91,0,org.apache.commons.validator.EmailValidator,org.apache.commons.validator.EmailValidator
commons-validator,org.apache.commons.validator,EmailValidator,isValidIpAddress,20,4,1,123,0,,
commons-validator,org.apache.commons.validator,EmailValidator,isValidSymbolicDomain,27,6,1,152,0,,
commons-validator,org.apache.commons.validator,EmailValidator,isValidUser,3,1,1,194,0,,
commons-validator,org.apache.commons.validator,EmailValidator,stripComments,9,2,1,203,0,,
commons-validator,org.apache.commons.validator,Field,addArg,18,4,1,149,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,addMsg,3,1,1,177,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,addVar,3,1,3,185,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,addVar,3,1,1,196,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
commons-validator,org.apache.commons.validator,Field,clone,22,3,0,204,0,,
commons-validator,org.apache.commons.validator,Field,determineArgPosition,25,7,1,236,0,,
commons-validator,org.apache.commons.validator,Field,ensureArgsCapacity,7,2,1,277,0,,
commons-validator,org.apache.commons.validator,Field,generateKey,8,2,0,293,0,org.apache.commons.validator.Field,org.apache.commons.validator.Field
