Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
commons-validator,org.apache.commons.validator,AbstractNumberTest,testNumber,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,AbstractNumberTest,testNumberFailure,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ByteTest,testByte,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ByteTest,testByteBeyondMax,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ByteTest,testByteBeyondMin,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ByteTest,testByteFailure,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ByteTest,testByteMax,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ByteTest,testByteMin,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,CreditCardValidatorTest,testAddAllowedCardType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
commons-validator,org.apache.commons.validator,CreditCardValidatorTest,testIsValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
commons-validator,org.apache.commons.validator,CustomValidatorResourcesTest,testCustomResources,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
commons-validator,org.apache.commons.validator,DateTest,testInvalidDate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,DateTest,testValidDate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,DoubleTest,testDouble,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,DoubleTest,testDoubleFailure,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,DoubleTest,testDoubleMax,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,DoubleTest,testDoubleMin,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,EmailTest,testEmail,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,EmailTest,testEmailExtension,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,EmailTest,testEmailLocalhost,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,EmailTest,testEmailWithBogusCharacter,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,EmailTest,testEmailWithCommas,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,EmailTest,testEmailWithControlChars,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-validator,org.apache.commons.validator,EmailTest,testEmailWithDash,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,EmailTest,testEmailWithDotEnd,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,EmailTest,testEmailWithNumericAddress,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,EmailTest,testEmailWithSpaces,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ExceptionTest,testValidatorException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-validator,org.apache.commons.validator,ExceptionTest,testValidatorException,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
commons-validator,org.apache.commons.validator,ExtensionTest,testOrder,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
commons-validator,org.apache.commons.validator,ExtensionTest,testOverrideRule,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-validator,org.apache.commons.validator,ExtensionTest,testRequired,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredFirstName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredFirstNameBlank,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredLastName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredLastNameBlank,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,ExtensionTest,testRequiredName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,FieldTest,testDefaultOnePosition,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
commons-validator,org.apache.commons.validator,FieldTest,testDefaultPositionImplied,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-validator,org.apache.commons.validator,FieldTest,testDefaultSomePositions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
commons-validator,org.apache.commons.validator,FieldTest,testDefaultUsingPositions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-validator,org.apache.commons.validator,FieldTest,testOverridePositionImplied,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
commons-validator,org.apache.commons.validator,FieldTest,testOverrideSomePosition,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
commons-validator,org.apache.commons.validator,FieldTest,testOverrideUsingPositionA,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
commons-validator,org.apache.commons.validator,FieldTest,testOverrideUsingPositionB,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
commons-validator,org.apache.commons.validator,FloatTest,testFloat,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,FloatTest,testFloatFailure,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,FloatTest,testFloatMax,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,FloatTest,testFloatMin,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,testFRLocale,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,testType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
commons-validator,org.apache.commons.validator,GenericTypeValidatorTest,testUSLocale,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMaxLength,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
commons-validator,org.apache.commons.validator,GenericValidatorTest,testMinLength,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
commons-validator,org.apache.commons.validator,IntegerTest,testInt,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,IntegerTest,testIntBeyondMax,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,IntegerTest,testIntBeyondMin,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,IntegerTest,testIntegerMax,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,IntegerTest,testIntFailure,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,IntegerTest,testIntMin,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ISBNValidatorTest,testIsValid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
commons-validator,org.apache.commons.validator,LocaleTest,testLocale1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,LocaleTest,testLocale2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,LocaleTest,testLocale3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,LocaleTest,testLocale4,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,LocaleTest,testLocale5,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,LongTest,testLong,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,LongTest,testLongBeyondMax,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,LongTest,testLongBeyondMin,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,LongTest,testLongFailure,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,LongTest,testLongMax,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,LongTest,testLongMin,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,MultipleConfigFilesTest,testBothBlank,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
commons-validator,org.apache.commons.validator,MultipleConfigFilesTest,testMergedConfig,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
commons-validator,org.apache.commons.validator,MultipleConfigFilesTest,testRequiredFirstNameBlankLastNameShort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,MultipleConfigFilesTest,testRequiredLastNameLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,MultipleConfigFilesTest,testRequiredLastNameShort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,MultipleTest,testBothBlank,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
commons-validator,org.apache.commons.validator,MultipleTest,testFailingFirstDependentValidator,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-validator,org.apache.commons.validator,MultipleTest,testFailingNextDependentValidator,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,MultipleTest,testPassingDependentsFailingMain,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
commons-validator,org.apache.commons.validator,MultipleTest,testPassingDependentsPassingMain,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
commons-validator,org.apache.commons.validator,MultipleTest,testRequiredFirstNameBlankLastNameShort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,MultipleTest,testRequiredLastNameLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,MultipleTest,testRequiredLastNameShort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,ParameterTest,testAllValid,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
commons-validator,org.apache.commons.validator,RequiredIfTest,testRequired,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,RequiredIfTest,testRequiredFirstName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,RequiredIfTest,testRequiredFirstNameBlank,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,RequiredIfTest,testRequiredLastName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,RequiredIfTest,testRequiredLastNameBlank,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,RequiredNameTest,testRequired,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,RequiredNameTest,testRequiredFirstName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,RequiredNameTest,testRequiredFirstNameBlank,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,RequiredNameTest,testRequiredLastName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,RequiredNameTest,testRequiredLastNameBlank,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,RequiredNameTest,testRequiredName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-validator,org.apache.commons.validator,RetrieveFormTest,testDefaultForm,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,RetrieveFormTest,testFormNotFound,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,RetrieveFormTest,testLanguageCountryForm,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,RetrieveFormTest,testLanguageCountryVariantForm,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,RetrieveFormTest,testLanguageForm,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ShortTest,testShortBeyondMax,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ShortTest,testShortBeyondMin,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ShortTest,testShortMax,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ShortTest,testShortMin,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,UrlTest,testIsValid,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,UrlTest,testValidator202,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ValidatorResultsTest,testAllValid,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ValidatorResultsTest,testErrors,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-validator,org.apache.commons.validator,ValidatorTest,testManualBoolean,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-validator,org.apache.commons.validator,ValidatorTest,testManualBoolean,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
commons-validator,org.apache.commons.validator,ValidatorTest,testManualBooleanDeprecated,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-validator,org.apache.commons.validator,ValidatorTest,testManualBooleanDeprecated,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
commons-validator,org.apache.commons.validator,ValidatorTest,testManualObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
commons-validator,org.apache.commons.validator,ValidatorTest,testManualObject,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
commons-validator,org.apache.commons.validator,ValidatorTest,testOnlyReturnErrors,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-validator,org.apache.commons.validator,ValidatorTest,testOnlyValidateField,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-validator,org.apache.commons.validator,VarTest,testVars,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 22
